date,forecast
2023-01-01,25.357516212182038
2023-01-02,25.383119828863244
2023-01-03,25.40200895205438
2023-01-04,25.381048006569312
2023-01-05,25.40144539338806
2023-01-06,25.381752533619398
2023-01-07,25.40075549140967
2023-01-08,25.382418874815215
2023-01-09,25.400112477384116
2023-01-10,25.383039342525482
2023-01-11,25.39951376768052
2023-01-12,25.383617057071984
2023-01-13,25.398956312055613
2023-01-14,25.38415496420156
2023-01-15,25.398437267907344
2023-01-16,25.38465580684342
2023-01-17,25.397953988493175
2023-01-18,25.385122138925873
2023-01-19,25.397504009444305
2023-01-20,25.385556338398825
2023-01-21,25.397085036199247
2023-01-22,25.385960619359548
2023-01-23,25.39669493230327
2023-01-24,25.386337043342962
2023-01-25,25.39633170851404
2023-01-26,25.386687529833928
2023-01-27,25.39599351265795
2023-01-28,25.387013866055216
2023-01-29,25.39567862018541
2023-01-30,25.38731771608103
